id,nome,settore_di_mercato,descrizione,finanziamenti,numero_investitori,valore_startup,valore_mercato_totale,numero_brevetti,numero_prodotti_attivi,stage,media_fatturato,tasso_di_crescita_dip,anni_di_attività,anno_creazione,città,stato,continente,budget_formazione,nuova_tecnologia,tipo_di_miglioramento_tecnologia,incremento_tec,numero_operatori,dip_ingegneri,dip_business,dip_vendite,dip_design,dip_informatica,dip_amministrativo,dip_controllo_qualità,dip_ricerca,dip_risorseumane,dip_assistenza,concorrente,fatturato_conc(B)
1,stratoscale,tech,Stratoscale era un'azienda che si concentrava sulla fornitura di infrastrutture e servizi compatibili con Amazon Web Services (AWS) operando nell'industria dei data center,69M,6,89.92M,462.9B,25,19,dead,130.5K,-18%,6,2013,tel aviv,Israel,Asia,225K,virtualizzazione del server,costi,-60%,0,5,1,1,0,2,1,0,0,0,0, microsoft azure,50B
2,ignitionone,tech,IgnitionOne fornisce tecnologia di marketing digitale basata su cloud offrendo una piattaforma e servizi per migliorare le performance del marketing digitale,39.64M,5,89M,45503B,4,22,dead,7.2M,+2%,15,2004,New York,New York,North America,280K, cloud computing, tempo inattivita ,-90%,2,16,5,14,1,10,1,4,2,0,3,adobe,15.7B
3,phytelligence,biotech,Phytelligence e' un'azienda di biotecnologia agricola che utilizza tecniche di coltivazione per fornire colture di alta qualita ,25.3M,3,3.5M,430B,2,10,dead,14.3M,0%,7,2019,Washington,Washington,North America,80K,marketing basato su account,fatturato,+15%,20,10,5,2,1,5,2,0,1,1,1,Johnson & Johnson,89.3B
4,defy media,tech,DEFY Media operava come societa  di notizie e media digitali,100M,5,102.29M,568.8B,2,7,dead,6.8M,-13%,5,2013,New York,New York,North America,180K,analisi dei dati,resa,+10%,9,1,4,5,11,4,4,2,0,1,2,walt disney,59B
5,apprenda,tech,Apprenda offre una piattaforma aziendale come servizio (PaaS) che alimenta lo sviluppo di software aziendale su cloud pubblici privati e ibridi,55.5M,5,33.07M,37.6B,12,33,dead,1.4M,0,13,2005,River st Troy,New York,North America,105K,sistema peer to peer,entrate,+17%,0,2,1,1,1,0,1,1,1,0,0, microsoft azure,50B
6,wikimart,martech,Wikimart fornisce un marketplace online progettato per vendere beni e prodotti online,81M,3,215M,1915B,4,10,dead,36M,0%,8,2008,Mosca,Russia,Asia,400K,identita  unificata,costi,-30%,53,14,20,27,7,25,17,0,0,10,40,amazon,135.9B
7,AudienceScience,tech,AudienceScience offre una piattaforma di targeting flessibile per i media digitali in tutto il mondo,89.33M,6,150M,1B,20,27,dead,3.7M,-6%,17,2000,Washington,Washington,North America,266K,strade ottimizzate,tempi,-15%,2,9,2,1,0,0,3,0,1,3,0,Acxiom,1.3B
8,Bridj,tech,Bridj e' un sistema di trasporto intelligente che utilizza big data e navette per adattarsi alle esigenze individuali degli spostamenti pendolari,11.95M,8,1.6M,12.7B,4,14,dead,2.8M,-19%,6,2011,Boston,Massachusetts,North America,36K,ricerca funzionale,tempi,-75%,5,8,2,1,1,1,2,1,0,0,0,Moovit,0.7B
9,quixey,tech,quixey e' un motore di ricerca per le app,164.2M,12,600M,77B,267,31,dead,2.9M,-3%,8,2009,Mountain View,California,North America,577K,comunicazione ottica,tempi,-40%,0,13,3,0,0,4,2,3,1,3,0,google,110B
10,aoptix technologies,tech,AOptix Technologies e' un sviluppatore commerciale di tecnologia ottica. Le soluzioni dell'azienda offrono identificazione e verifica veloci facili e accurate per una vasta gamma di applicazioni,113.64M,10,243.63M,22B,19,14,dead,10.7M,0%,17,2000,Campbell,California,North America,112K,filtro contenuti,soddisfazione,+10%,7,14,3,1,1,5,2,5,1,1,0,tarana,0.2B
11,chacha,tech,ChaCha e' un servizio gratuito di risposte mobili per persone in movimento,108M,12,190M,706B,56,23,dead,72.1M,0%,11,2005,Carmel,Indiana,North America,500K,piattaforma di interazione,tempi,-70%,166,5,79,41,27,22,28,0,0,16,29,google,110B       
12,Vidangel,tech,Vidangel ha reso i film e youtube sicuro per le famiglie,11.23M,3,40M,90B,15,32,dead,6.9M,0%,5,2012,Provo,Utah,North America,79.2K,organizzazione intelligente,costi,-20%,5,6,8,6,3,2,2,1,1,0,8,disney,59B
13,karhoo,tech,Karhoo e' un marketplace  che collega marchi in tutto il mondo per offrire prenotazioni di taxi online,39M,7,250M,150B,2,55,dead,14.8M,-3%,3,2014,London,United Kingdom,Europe,277K,software iperconvergente,efficenza,+30%,18,22,6,11,2,13,2,0,2,2,3,uber,7.9B
14,quirky,tech,L'azienda da  vita a nuovi prodotti per i consumatori consentendo la collaborazione tra una comunita  globale di inventori e un team interno di designer e ingegneri,185.34M,10,150M,15B,5,49,dead,14M,-2%,6,2009,New York,New York,North America,100K,software per commissioni,tempi,-90%,4,21,10,5,3,5,2,1,0,1,4,kickstarter,0.1B
15,zirtual,tech,Zirtual mette in contatto gli utenti con assistenti personali virtuali specializzati in pianificazione ricerca e prenotazioni e gestisce ulteriori compiti attraverso la sua piattaforma integrata,5.34M,7,80M,7.2B,10,30,dead,24.6M,-2%,12,2011,Powell,Ohio,North America,600K,tecnologia del commercio al dettaglio,vendite,+25%,6,0,8,9,2,1,124,0,0,3,2,MyOutDesk,0.3B
16,springpath,tech,Springpath fornisce software che trasforma server standard in un pool unificato di risorse di calcolo e archiviazione,86M,5,153.17M,167B,7,23,dead,9.1M,0%,5,2012,SunnyVale,California,North America,210K,nuova piattaforma per brand,sicurezza,+50%,0,14,1,2,0,0,6,0,1,0,0,Cisco,48B
17,exec,tech,e' un'applicazione mobile per assumere assistenti personali per sbrigare commissioni per gli utenti,3.32M,9,30M,200B,2,3,dead,18.9M,+22%,4,2010,San Francisco,California,North America,169K,pagamenti da telefono,tempi,-50%,11,4,41,3,3,0,3,0,0,45,14,Housekeep,0.1B
18,salorix,tech,Salorix collabora con marchi e agenzie per semplificare e scalare il coinvolgimento sui social media,3.5M,2,11.48M,100B,2,1,dead,870K,+11%,5,2009,Santa Clara,California,North America,30K,Soluzioni di archiviazione ad alte prestazioni,costi,-90%,1,2,4,2,0,2,1,0,1,0,0,Walmart Labs,0.1B
19,mode media,tech,aiuta le persone a creare scoprire e condividere contenuti che amano,229.2M,16,776.2M,250B,2,5,dead,28.3M,+5%,12,2004,brisbane,California,North America,345K,piattaforma per alte performance,energia,-80%,14,19,16,13,13,5,14,4,0,3,0,reddit,0.025B
20,powa technologies,tech,Crea tecnologie per integrare senza soluzione di continuita  il mondo fisico e digitale,176.7M,3,325M,700B,6,55,dead,2.8M,0%,9,2007,London,United Kingdom,Europe,1.25M,gestione ottimizzata delle informazioni,errori,-90%,4,10,1,3,0,2,1,2,0,0,1,ITS partners,0.1B
21,coraid,tech,Coraid fornisce soluzioni di archiviazione per fornitori di servizi cloud e aziende,114.3M,8,83.57M,22.7B,5,5,dead,1.4M,0%,15,2015,Redwood City,California,North America,56K,distribuzione ottimizzata dell'energia,sprechi,-80%,2,3,0,1,0,1,0,0,0,0,0,Riverbed,1.09B
